Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Southend-on-Sea,882,2014-15,,,Unitary,Requires improvement to be good,38232,184,48,230,60,1024,237,23,0.23,4272,5777,23
Thurrock,883,2014-15,,,Unitary,Good,40121,201,50,285,71,1563,196,13,0.22,1002,7021,31
Herefordshire,884,2014-15,,,Unitary,Requires improvement to be good,36082,170,47,270,75,1311,59,5,0.14,86,1918,9
Worcestershire,885,2014-15,,,County,Requires improvement to be good,114986,368,32,690,60,3942,519,13,0.16,331,7968,12
Kent,886,2014-15,,,County,Good,328257,1242,38,1870,57,9182,1443,16,0.18,426,33821,17
Medway,887,2014-15,,,Unitary,Inadequate,62498,475,76,425,68,2544,393,15,0.22,1412,8498,22
Lancashire,888,2014-15,,,County,Requires improvement to be good,244635,936,38,1590,65,8489,626,7,0.18,407,25413,17
Blackburn with Darwen,889,2014-15,,,Unitary,Good,38267,187,49,315,83,1617,146,9,0.24,1076,11811,52
Blackpool,890,2014-15,,,Unitary,Inadequate,28847,355,123,455,158,1672,103,6,0.33,4043,1508,9
Nottinghamshire,891,2014-15,,,County,Good,163094,702,43,840,51,3793,245,7,0.18,385,11828,12
Nottingham,892,2014-15,,,Unitary,Requires improvement to be good,64985,527,81,580,89,3391,499,15,0.35,4214,17341,49
Shropshire,893,2014-15,,,Unitary,Good,59778,249,42,310,52,1637,197,12,0.13,97,2307,7
Telford and Wrekin,894,2014-15,,,Unitary,Outstanding,39029,103,26,295,75,1112,208,19,0.25,585,3982,17
Cheshire East,895,2014-15,,,Unitary,Requires improvement to be good,75095,312,42,360,48,2176,151,7,0.12,321,4451,10
Cheshire West and Chester,896,2014-15,,,Unitary,Good,66155,246,37,495,75,2147,269,13,0.17,362,3069,7
Cornwall,908,2014-15,,,Unitary,Outstanding,104923,404,39,440,42,3146,760,24,0.18,154,3666,6
Cumbria,909,2014-15,,,County,Requires improvement to be good,93352,325,35,685,73,3421,503,15,0.16,74,2817,5
Gloucestershire,916,2014-15,,,County,Inadequate,123845,430,35,520,42,3231,182,6,0.15,231,10167,13
Hertfordshire,919,2014-15,,,County,Good,261708,896,34,1005,38,5441,1078,20,0.13,702,42367,26
Isle of Wight,921,2014-15,,,Unitary,Good,25566,254,99,200,79,1092,237,22,0.2,367,963,6
Lincolnshire,925,2014-15,,,County,Outstanding,141395,386,27,630,44,3747,322,9,0.18,123,10103,11
Norfolk,926,2014-15,,,County,Requires improvement to be good,166914,572,34,1070,64,8192,977,12,0.18,163,11393,12
Northamptonshire,928,2014-15,,,County,Inadequate,160663,988,62,940,58,4161,304,7,0.17,302,20867,21
Northumberland,929,2014-15,,,Unitary,Good,59825,355,59,365,61,3364,409,12,0.19,63,1810,5
Oxfordshire,931,2014-15,,,County,Good,141009,569,40,510,36,3917,550,14,0.12,257,17034,22
Somerset,933,2014-15,,,County,Requires improvement to be good,108932,522,48,490,45,4264,748,18,0.15,157,5010,8
Suffolk,935,2014-15,,,County,Outstanding,151003,452,30,730,48,3277,683,21,0.15,195,11496,13
Surrey,936,2014-15,,,County,Inadequate,254701,995,39,780,31,5735,924,16,0.1,700,28462,22
Warwickshire,937,2014-15,,,County,Requires improvement to be good,112324,536,48,690,61,3797,217,6,0.14,280,10704,15
West Sussex,938,2014-15,,,County,Inadequate,168948,502,30,645,38,4205,564,13,0.13,417,15694,16
"Bournemouth, Christchurch and Poole",839,2014-15,South West,South West,Unitary,Not yet inspected,63800,299,47,430,67,2631,406,16,0.17,6418,6392,17
City of London,201,2013-14,,,City of London Corporation,Outstanding,738,0,0,5,84,28,0,0,0.1,2077,151,86
Camden,202,2013-14,,,London borough,Good,40753,199,47,225,53,2124,381,18,0.27,10578,14437,76
Greenwich,203,2013-14,,,London borough,Good,62547,279,44,540,85,3457,335,10,0.27,5579,20904,64
Hackney,204,2013-14,,,London borough,Requires improvement to be good,57830,221,38,340,58,2465,190,8,0.32,13514,22948,85
Hammersmith and Fulham,205,2013-14,,,London borough,Good,33046,161,48,205,61,1459,140,10,0.27,11064,11632,72
Islington,206,2013-14,,,London borough,Outstanding,37433,137,36,305,80,2038,219,11,0.35,14529,14268,73
Kensington and Chelsea,207,2013-14,,,London borough,Outstanding,26993,92,34,95,36,1002,106,11,0.17,12961,7638,77
Lambeth,208,2013-14,,,London borough,Requires improvement to be good,61324,358,58,530,85,4242,40,1,0.3,11664,24986,86
Lewisham,209,2013-14,,,London borough,Requires improvement to be good,64497,302,46,505,77,3029,424,14,0.3,8107,24934,76
Southwark,210,2013-14,,,London borough,Good,60307,327,53,550,90,2927,139,5,0.3,10348,25568,79
Tower Hamlets,211,2013-14,,,London borough,Good,57735,328,54,325,53,2544,178,7,0.39,13828,31522,90
Wandsworth,212,2013-14,,,London borough,Requires improvement to be good,57026,170,29,205,35,1639,289,18,0.21,9138,19097,73
Westminster,213,2013-14,,,London borough,Outstanding,37646,99,25,175,45,2017,238,12,0.29,10486,15962,86
Barking and Dagenham,301,2013-14,,,London borough,Requires improvement to be good,55584,318,55,455,79,2184,168,8,0.32,5389,22150,68
Barnet,302,2013-14,,,London borough,Good,85160,220,26,310,36,1937,302,16,0.18,4246,31131,68
Bexley,303,2013-14,,,London borough,Outstanding,54560,255,46,260,47,1616,307,19,0.19,3909,13494,36
Brent,304,2013-14,,,London borough,Good,71675,229,32,350,48,1413,118,8,0.27,7335,34737,92
Bromley,305,2013-14,,,London borough,Good,69586,262,37,275,39,1972,470,24,0.17,2119,13658,32
Croydon,306,2013-14,,,London borough,Good,90722,377,41,785,86,3753,434,12,0.23,4320,32315,68
Ealing,307,2013-14,,,London borough,Requires improvement to be good,78080,326,41,385,48,2594,174,7,0.23,6159,35036,83
Enfield,308,2013-14,,,London borough,Good,80123,204,25,300,37,2012,386,19,0.31,3963,36709,77
Haringey,309,2013-14,,,London borough,Requires improvement to be good,58111,196,33,510,87,2816,243,9,0.29,8819,24306,80
Harrow,310,2013-14,,,London borough,Good,55158,183,33,165,30,1714,228,13,0.17,4815,24238,85
Havering,311,2013-14,,,London borough,Good,51399,143,27,205,40,1114,45,4,0.2,2155,9125,28
Hillingdon,312,2013-14,,,London borough,Good,65949,171,25,355,52,2334,167,7,0.21,2472,24013,59
Hounslow,313,2013-14,,,London borough,Good,59207,221,37,315,52,1822,292,16,0.22,4667,25858,77
Kingston upon Thames,314,2013-14,,,London borough,Outstanding,34910,100,28,115,32,915,160,18,0.12,4446,10262,50
Merton,315,2013-14,,,London borough,Good,44477,182,40,150,34,1603,276,17,0.17,5412,14604,66
Newham,316,2013-14,,,London borough,Inadequate,79941,224,28,405,50,3313,458,14,0.29,8880,42944,93
Redbridge,317,2013-14,,,London borough,Outstanding,72072,188,26,215,30,2363,498,21,0.19,5120,37394,83
Richmond upon Thames,318,2013-14,,,London borough,Good,41831,90,21,85,20,788,227,29,0.09,3330,7208,37
Sutton,319,2013-14,,,London borough,Good,43957,247,55,195,44,1298,80,6,0.16,4465,13164,43
Waltham Forest,320,2013-14,,,London borough,Good,62836,208,33,265,42,2519,132,5,0.27,6845,27846,81
Birmingham,330,2013-14,,,Metropolitan borough council,Requires improvement to be good,277098,844,30,1805,64,9123,1013,11,0.31,4079,103946,65
Coventry,331,2013-14,,,Metropolitan borough council,Requires improvement to be good,71783,765,105,630,86,4637,371,8,0.25,3330,19226,43
Dudley,332,2013-14,,,Metropolitan borough council,Requires improvement to be good,67423,304,45,755,112,3262,798,25,0.22,3209,8146,20
Sandwell,333,2013-14,,,Metropolitan borough council,Inadequate,75695,383,50,570,74,1994,168,8,0.3,3670,22020,49
Solihull,334,2013-14,,,Metropolitan borough council,Requires improvement to be good,45110,208,46,325,72,1849,328,18,0.16,1173,6979,22
Walsall,335,2013-14,,,Metropolitan borough council,Requires improvement to be good,63478,326,51,630,98,2824,251,9,0.28,2616,13930,34
Wolverhampton,336,2013-14,,,Metropolitan borough council,Good,56400,236,42,770,136,2249,327,15,0.31,3625,15926,48
Knowsley,340,2013-14,,,Metropolitan borough council,Requires improvement to be good,32465,185,57,260,80,1181,187,16,0.34,1689,800,5
Liverpool,341,2013-14,,,Metropolitan borough council,Requires improvement to be good,89517,391,44,990,111,3686,30,1,0.33,4219,11121,19
St. Helens,342,2013-14,,,Metropolitan borough council,Inadequate,36416,231,64,430,119,1505,274,18,0.26,1292,982,4
Sefton,343,2013-14,,,Metropolitan borough council,Requires improvement to be good,53837,222,41,400,75,1551,347,22,0.21,1764,2120,6
Wirral,344,2013-14,,,Metropolitan borough council,Requires improvement to be good,67661,290,43,665,99,2674,475,18,0.24,2042,2974,7
Bolton,350,2013-14,,,Metropolitan borough council,Good,65151,384,59,530,80,2603,198,8,0.23,2005,12550,32
Bury,351,2013-14,,,Metropolitan borough council,Requires improvement to be good,42201,222,52,310,73,1841,183,10,0.18,1875,5480,23
Manchester,352,2013-14,,,Metropolitan borough council,Requires improvement to be good,110817,919,81,1380,122,5155,335,7,0.34,4442,34239,57
Oldham,353,2013-14,,,Metropolitan borough council,Requires improvement to be good,56701,277,48,395,69,1680,180,11,0.26,1594,13788,40
Rochdale,354,2013-14,,,Metropolitan borough council,Requires improvement to be good,50679,316,63,530,105,2216,355,16,0.27,1342,9603,34
Salford,355,2013-14,,,Metropolitan borough council,Good,51575,278,53,575,110,1663,296,18,0.28,2456,5748,21
Stockport,356,2013-14,,,Metropolitan borough council,Good,60667,358,59,300,49,1596,288,18,0.16,2260,5031,15
Tameside,357,2013-14,,,Metropolitan borough council,Requires improvement to be good,48503,167,34,425,87,1450,112,8,0.25,2138,5434,19
Trafford,358,2013-14,,,Metropolitan borough council,Inadequate,52324,283,53,315,60,1398,169,12,0.14,2170,8950,27
Wigan,359,2013-14,,,Metropolitan borough council,Good,67712,213,31,495,73,2092,263,13,0.2,1700,2359,6
Barnsley,370,2013-14,,,Metropolitan borough council,Good,49095,210,43,225,46,1104,245,22,0.25,717,1821,7
Doncaster,371,2013-14,,,Metropolitan borough council,Good,64918,331,51,500,77,2239,198,9,0.25,535,4837,12
Rotherham,372,2013-14,,,Metropolitan borough council,Good,56108,388,69,395,70,1851,191,10,0.24,903,5630,15
Sheffield,373,2013-14,,,Metropolitan borough council,Good,114028,452,39,535,47,4087,590,14,0.24,1523,19963,31
Bradford,380,2013-14,,,Metropolitan borough council,Inadequate,137405,577,42,880,63,4183,488,12,0.25,1435,43435,54
Calderdale,381,2013-14,,,Metropolitan borough council,Good,45582,249,55,320,70,1252,74,6,0.21,566,6993,22
Kirklees,382,2013-14,,,Metropolitan borough council,Requires improvement to be good,97335,343,35,610,62,2713,340,13,0.19,1047,20684,37
Leeds,383,2013-14,,,Metropolitan borough council,Outstanding,156848,747,47,1355,86,6946,523,8,0.23,1379,27057,28
Wakefield,384,2013-14,,,Metropolitan borough council,Inadequate,68401,384,56,490,71,3710,242,7,0.22,974,4656,11
Gateshead,390,2013-14,,,Metropolitan borough council,Good,40305,276,69,355,89,1602,275,17,0.23,1406,1859,8
Newcastle upon Tyne,391,2013-14,,,Metropolitan borough council,Requires improvement to be good,54523,373,67,555,100,2446,501,21,0.27,2519,8048,26
North Tyneside,392,2013-14,,,Metropolitan borough council,Outstanding,40338,157,39,305,75,1565,89,6,0.2,2456,1764,7
South Tyneside,393,2013-14,,,Metropolitan borough council,Good,29485,173,59,305,104,1390,233,17,0.28,2304,1195,7
Sunderland,394,2013-14,,,Metropolitan borough council,Inadequate,54708,306,56,490,89,2663,320,12,0.26,2009,2251,7
Isles of Scilly,420,2013-14,,,Council of the Isles of Scilly,Good,369,0,0,0,0,0,0,0,0.01,139,69,30
Bath and North East Somerset,800,2013-14,,,Unitary,Good,33839,79,23,150,44,1314,237,18,0.12,519,2342,10
"Bristol, City of",801,2013-14,,,Unitary,Requires improvement to be good,89408,451,50,695,77,3681,788,21,0.25,3996,15222,34
North Somerset,802,2013-14,,,Unitary,Requires improvement to be good,41825,111,26,215,51,1409,224,16,0.15,552,2228,9
South Gloucestershire,803,2013-14,,,Unitary,Requires improvement to be good,57046,116,20,170,30,1583,225,14,0.12,541,4168,12
Hartlepool,805,2013-14,,,Unitary,Good,20289,128,63,200,100,1226,147,12,0.31,990,646,5
Middlesbrough,806,2013-14,,,Unitary,Inadequate,31637,235,74,350,111,2197,313,14,0.36,2578,4113,22
Redcar and Cleveland,807,2013-14,,,Unitary,Requires improvement to be good,27522,217,79,175,63,1170,213,18,0.27,551,667,4
Stockton-on-Tees,808,2013-14,,,Unitary,Requires improvement to be good,42147,296,70,380,90,2073,188,9,0.23,944,2339,10
"Kingston Upon Hull, City of",810,2013-14,,,Unitary,Inadequate,54847,248,45,640,116,3190,478,15,0.34,3600,4453,15
East Riding of Yorkshire,811,2013-14,,,Unitary,Inadequate,63888,132,21,310,49,1939,221,11,0.13,140,2021,5
North East Lincolnshire,812,2013-14,,,Unitary,Good,34381,407,118,265,76,2366,112,5,0.29,834,1228,6
North Lincolnshire,813,2013-14,,,Unitary,Outstanding,35474,109,31,170,48,771,149,19,0.21,199,2283,11
North Yorkshire,815,2013-14,,,County,Outstanding,118574,353,30,460,39,2658,459,17,0.11,75,4927,7
York,816,2013-14,,,Unitary,Good,36036,125,34,220,61,1266,155,12,0.12,743,1964,9
Luton,821,2013-14,,,Unitary,Inadequate,52868,271,51,400,74,3408,509,15,0.24,4784,22281,72
Bedford Borough,822,2013-14,,,Unitary,Requires improvement to be good,36116,164,45,270,73,1355,142,11,0.19,339,8829,38
Central Bedfordshire,823,2013-14,,,Unitary,Good,57139,192,33,270,46,1541,227,15,0.14,369,4627,13
Buckinghamshire,825,2013-14,,,County,Inadequate,116860,242,21,440,37,2417,367,15,0.1,329,20281,29
Milton Keynes,826,2013-14,,,Unitary,Requires improvement to be good,62949,33,5,305,47,1487,237,16,0.2,831,13807,37
Derbyshire,830,2013-14,,,County,Requires improvement to be good,155839,694,45,625,41,4501,828,18,0.17,305,4972,5
Derby,831,2013-14,,,Unitary,Good,57412,300,52,445,77,2566,146,6,0.25,3221,12354,36
Dorset,835,2013-14,,,County,,77180,270,35,340,44,2260,259,12,0.13,164,3380,7
Poole,836,2013-14,,,Unitary,0,29426,134,46,150,52,1095,257,24,0.16,2297,1865,11
Bournemouth,837,2013-14,,,Unitary,0,32736,231,69,275,83,1684,139,8,0.19,4069,3972,21
Durham,840,2013-14,,,Unitary,Requires improvement to be good,100250,453,45,605,60,3028,357,12,0.24,232,2330,4
Darlington,841,2013-14,,,Unitary,Requires improvement to be good,22774,140,61,190,83,897,166,19,0.22,535,1176,9
East Sussex,845,2013-14,,,County,Outstanding,104657,613,58,575,55,4325,598,14,0.17,313,6407,11
Brighton and Hove,846,2013-14,,,Unitary,Good,50058,288,57,460,91,1796,193,11,0.18,3358,6290,23
Hampshire,850,2013-14,,,County,Outstanding,281502,1111,39,1265,45,8020,1384,17,0.12,364,15682,10
Portsmouth,851,2013-14,,,Unitary,Good,42475,234,55,320,74,1328,181,14,0.24,5117,3953,19
Southampton,852,2013-14,,,Unitary,Requires improvement to be good,47003,236,49,500,104,1952,0,0,0.25,4805,7609,30
Leicestershire,855,2013-14,,,County,Requires improvement to be good,134433,439,33,455,34,4891,571,12,0.12,317,13196,15
Leicester,856,2013-14,,,Unitary,Requires improvement to be good,78492,326,41,530,67,1920,182,10,0.28,4563,28416,68
Rutland,857,2013-14,,,Unitary,Requires improvement to be good,7809,34,44,35,44,250,34,14,0.08,99,318,6
Staffordshire,860,2013-14,,,County,Good,170531,695,41,950,56,6614,800,12,0.15,327,9439,9
Stoke-on-Trent,861,2013-14,,,Unitary,Inadequate,54779,308,56,535,97,3381,402,12,0.29,2677,7453,25
Wiltshire,865,2013-14,,,Unitary,Good,103572,396,38,395,38,2819,347,12,0.11,147,5411,9
Swindon,866,2013-14,,,Unitary,Good,47384,214,45,255,53,1618,154,10,0.17,930,5889,22
Bracknell Forest,867,2013-14,,,Unitary,Good,26989,108,39,115,41,774,89,12,0.11,1065,2653,18
Windsor and Maidenhead,868,2013-14,,,Unitary,Good,32907,89,27,105,32,951,293,31,0.08,744,5585,31
West Berkshire,869,2013-14,,,Unitary,Good,35503,107,30,155,44,838,95,11,0.1,222,3053,13
Reading,870,2013-14,,,Unitary,Requires improvement to be good,34197,154,44,205,59,1499,157,11,0.2,3926,7959,49
Slough,871,2013-14,,,Unitary,Requires improvement to be good,38267,255,65,190,48,1549,193,13,0.2,4384,18109,80
Wokingham,872,2013-14,,,Unitary,Requires improvement to be good,35984,95,26,70,20,541,86,16,0.07,883,5688,26
Cambridgeshire,873,2013-14,,,County,Requires improvement to be good,128728,395,31,500,38,2977,409,14,0.13,206,13036,18
Peterborough,874,2013-14,,,Unitary,Good,44991,239,52,365,80,1765,225,13,0.25,549,12622,43
Halton,876,2013-14,,,Unitary,Requires improvement to be good,28030,164,58,210,75,1146,150,13,0.27,1594,615,4
Warrington,877,2013-14,,,Unitary,Good,44104,170,38,235,53,1065,168,16,0.15,1136,2519,9
Devon,878,2013-14,,,County,Inadequate,141040,600,42,685,49,5731,1410,25,0.14,115,5212,6
Plymouth,879,2013-14,,,Unitary,Requires improvement to be good,50924,374,73,395,77,1886,451,24,0.23,3239,2986,9
Torbay,880,2013-14,,,Unitary,Inadequate,24860,166,67,315,126,1843,302,16,0.24,2102,1267,8
Essex,881,2013-14,,,County,Outstanding,296733,421,14,1135,38,6412,1345,21,0.17,409,23712,13
Southend-on-Sea,882,2013-14,,,Unitary,Requires improvement to be good,37632,163,43,245,64,1057,284,27,0.23,4221,5399,22
Thurrock,883,2013-14,,,Unitary,Good,39024,286,73,285,72,1454,230,16,0.22,987,6347,29
Herefordshire,884,2013-14,,,Unitary,Requires improvement to be good,36019,212,59,240,67,1238,23,2,0.14,86,1794,9
Worcestershire,885,2013-14,,,County,Requires improvement to be good,114606,380,33,640,56,3700,521,14,0.16,329,7394,11
Kent,886,2013-14,,,County,Good,324341,1191,37,1820,56,10030,1452,15,0.18,421,31583,16
Medway,887,2013-14,,,Unitary,Inadequate,61408,358,58,380,61,2589,406,16,0.22,1399,7876,21
Lancashire,888,2013-14,,,County,Requires improvement to be good,243220,1079,44,1585,65,9034,632,7,0.18,406,24228,17
Blackburn with Darwen,889,2013-14,,,Unitary,Good,38662,219,57,340,89,1515,150,10,0.24,1078,10714,49
Blackpool,890,2013-14,,,Unitary,Inadequate,29073,307,106,445,153,1884,142,8,0.33,4063,1418,8
Nottinghamshire,891,2013-14,,,County,Good,162152,590,36,825,51,7129,569,8,0.18,382,11182,11
Nottingham,892,2013-14,,,Unitary,Requires improvement to be good,63004,473,74,585,91,3422,584,17,0.35,4164,16187,47
Shropshire,893,2013-14,,,Unitary,Good,60558,253,42,270,45,1265,183,15,0.13,97,2184,7
Telford and Wrekin,894,2013-14,,,Unitary,Outstanding,39011,129,33,310,79,1400,211,15,0.25,581,3631,16
Cheshire East,895,2013-14,,,Unitary,Requires improvement to be good,75016,203,27,335,44,2116,156,7,0.12,320,4194,9
Cheshire West and Chester,896,2013-14,,,Unitary,Good,66047,172,26,435,66,2076,297,14,0.17,361,2895,7
Cornwall,908,2013-14,,,Unitary,Outstanding,103579,303,29,440,42,0,0,0,0.18,153,3518,6
Cumbria,909,2013-14,,,County,Requires improvement to be good,94549,595,63,665,71,3888,519,13,0.16,74,2559,4
Gloucestershire,916,2013-14,,,County,Inadequate,122439,448,37,480,39,2982,209,7,0.15,228,9518,13
Hertfordshire,919,2013-14,,,County,Good,256018,1140,44,1010,39,5882,1115,19,0.13,694,39657,25
Isle of Wight,921,2013-14,,,Unitary,Good,25967,164,64,190,74,1155,411,36,0.2,364,956,6
Lincolnshire,925,2013-14,,,County,Outstanding,139777,342,24,600,43,3724,338,9,0.18,122,9155,10
Norfolk,926,2013-14,,,County,Requires improvement to be good,165632,537,32,1150,69,6678,1559,23,0.18,162,10534,11
Northamptonshire,928,2013-14,,,County,Inadequate,157811,792,50,855,54,4766,376,8,0.17,298,18959,20
Northumberland,929,2013-14,,,Unitary,Good,61054,354,59,330,55,3681,424,12,0.19,63,1946,5
Oxfordshire,931,2013-14,,,County,Good,139334,504,36,460,33,3504,526,15,0.12,255,15831,20
Somerset,933,2013-14,,,County,Requires improvement to be good,108630,412,38,490,45,4037,711,18,0.15,156,4528,7
Suffolk,935,2013-14,,,County,Outstanding,150671,602,40,725,48,3489,709,20,0.15,194,10659,12
Surrey,936,2013-14,,,County,Inadequate,249845,925,37,795,31,4583,843,18,0.1,694,27294,21
Warwickshire,937,2013-14,,,County,Requires improvement to be good,111916,528,47,695,62,3788,251,7,0.14,278,9968,15
West Sussex,938,2013-14,,,County,Inadequate,166027,489,29,600,36,3824,596,16,0.13,413,14804,15
"Bournemouth, Christchurch and Poole",839,2013-14,South West,South West,Unitary,Not yet inspected,62162,365,57,425,68,2779,396,16,0.17,6366,5837,16
City of London,201,2012-13,,,City of London Corporation,Outstanding,739,0,0,5,88,43,0,0,0.1,2277,154,88
Camden,202,2012-13,,,London borough,Good,42477,205,50,265,65,2027,382,19,0.27,10317,14345,76
Greenwich,203,2012-13,,,London borough,Good,63776,412,66,575,92,4008,424,11,0.27,5493,19786,63
Hackney,204,2012-13,,,London borough,Requires improvement to be good,58990,225,39,320,55,2206,187,9,0.32,13240,21829,85
Hammersmith and Fulham,205,2012-13,,,London borough,Good,33533,142,43,235,72,1555,102,7,0.27,11106,11454,72
Islington,206,2012-13,,,London borough,Outstanding,38397,117,31,310,83,2011,253,13,0.35,14221,13983,73
Kensington and Chelsea,207,2012-13,,,London borough,Outstanding,27454,73,27,100,36,998,105,11,0.17,12942,7404,76
Lambeth,208,2012-13,,,London borough,Requires improvement to be good,61888,299,49,500,81,3710,154,4,0.3,11539,24010,86
Lewisham,209,2012-13,,,London borough,Requires improvement to be good,65600,235,36,495,77,2724,405,15,0.3,7986,24370,76
Southwark,210,2012-13,,,London borough,Good,61185,272,45,560,93,3315,193,6,0.3,10167,24656,78
Tower Hamlets,211,2012-13,,,London borough,Good,60599,328,57,305,53,2231,223,10,0.39,13323,30527,89
Wandsworth,212,2012-13,,,London borough,Requires improvement to be good,58430,147,26,210,37,1425,264,19,0.21,9033,18561,73
Westminster,213,2012-13,,,London borough,Outstanding,39139,94,25,190,50,1899,138,7,0.29,10413,15751,86
Barking and Dagenham,301,2012-13,,,London borough,Requires improvement to be good,57353,200,36,415,74,2161,204,9,0.32,5280,20266,65
Barnet,302,2012-13,,,London borough,Good,86382,203,24,305,36,1833,339,19,0.18,4193,30116,68
Bexley,303,2012-13,,,London borough,Outstanding,54939,218,40,255,47,1827,292,16,0.19,3868,12643,34
Brent,304,2012-13,,,London borough,Good,72561,172,24,345,48,1322,132,10,0.27,7277,33976,92
Bromley,305,2012-13,,,London borough,Good,70453,184,26,285,41,1688,540,32,0.17,2092,12776,30
Croydon,306,2012-13,,,London borough,Good,91671,308,34,730,81,3710,238,6,0.23,4268,30980,66
Ealing,307,2012-13,,,London borough,Requires improvement to be good,79474,319,41,400,51,2484,321,13,0.23,6127,33860,82
Enfield,308,2012-13,,,London borough,Good,80956,228,29,300,37,1929,362,19,0.31,3925,35507,76
Haringey,309,2012-13,,,London borough,Requires improvement to be good,58806,268,46,540,93,3074,199,7,0.29,8713,24763,81
Harrow,310,2012-13,,,London borough,Good,55757,122,22,170,31,1313,291,22,0.17,4795,23124,83
Havering,311,2012-13,,,London borough,Good,52136,122,24,185,36,1155,183,16,0.2,2134,8297,26
Hillingdon,312,2012-13,,,London borough,Good,67529,218,33,360,55,1954,152,8,0.21,2430,22614,57
Hounslow,313,2012-13,,,London borough,Good,60336,200,34,300,51,1758,317,18,0.22,4618,24675,75
Kingston upon Thames,314,2012-13,,,London borough,Outstanding,35670,163,47,130,37,1085,164,15,0.12,4380,9771,49
Merton,315,2012-13,,,London borough,Good,45015,162,36,140,31,1486,281,19,0.17,5370,14005,64
Newham,316,2012-13,,,London borough,Inadequate,81518,247,31,410,51,3691,563,15,0.29,8737,41393,93
Redbridge,317,2012-13,,,London borough,Outstanding,73292,115,16,205,29,1969,492,25,0.19,5045,35868,81
Richmond upon Thames,318,2012-13,,,London borough,Good,42839,69,17,85,20,785,224,29,0.09,3292,6767,36
Sutton,319,2012-13,,,London borough,Good,44700,157,36,170,39,1892,257,14,0.16,4413,12234,41
Waltham Forest,320,2012-13,,,London borough,Good,63785,183,29,275,44,2391,161,7,0.27,6763,26995,80
Birmingham,330,2012-13,,,Metropolitan borough council,Requires improvement to be good,279992,1026,37,1890,68,11379,1027,9,0.31,4052,99600,64
Coventry,331,2012-13,,,Metropolitan borough council,Requires improvement to be good,73083,519,72,620,86,3085,341,11,0.25,3270,18098,41
Dudley,332,2012-13,,,Metropolitan borough council,Requires improvement to be good,67626,242,36,730,108,3000,806,27,0.22,3201,7910,20
Sandwell,333,2012-13,,,Metropolitan borough council,Inadequate,76887,324,43,600,79,2312,97,4,0.3,3638,20791,47
Solihull,334,2012-13,,,Metropolitan borough council,Requires improvement to be good,45317,212,47,325,72,1602,313,20,0.16,1164,6479,20
Walsall,335,2012-13,,,Metropolitan borough council,Requires improvement to be good,63852,251,40,575,90,2695,240,9,0.28,2605,13123,33
Wolverhampton,336,2012-13,,,Metropolitan borough council,Good,56927,244,43,655,117,1982,209,11,0.31,3616,15071,46
Knowsley,340,2012-13,,,Metropolitan borough council,Requires improvement to be good,32385,143,44,235,73,1237,183,15,0.34,1687,737,4
Liverpool,341,2012-13,,,Metropolitan borough council,Requires improvement to be good,89644,342,38,945,106,4079,39,1,0.33,4204,10257,18
St. Helens,342,2012-13,,,Metropolitan borough council,Inadequate,36274,156,43,440,121,1559,261,17,0.26,1292,918,4
Sefton,343,2012-13,,,Metropolitan borough council,Requires improvement to be good,53575,214,40,425,79,2193,406,19,0.21,1767,1966,6
Wirral,344,2012-13,,,Metropolitan borough council,Requires improvement to be good,67498,269,40,665,98,2820,451,16,0.24,2040,2898,7
Bolton,350,2012-13,,,Metropolitan borough council,Good,65538,215,33,540,83,2358,220,9,0.23,1996,11852,30
Bury,351,2012-13,,,Metropolitan borough council,Requires improvement to be good,42342,115,27,320,76,1333,102,8,0.18,1872,5198,22
Manchester,352,2012-13,,,Metropolitan borough council,Requires improvement to be good,112887,736,66,1300,117,5263,547,10,0.34,4414,32105,55
Oldham,353,2012-13,,,Metropolitan borough council,Requires improvement to be good,57177,295,52,345,61,0,0,0,0.26,1586,13122,38
Rochdale,354,2012-13,,,Metropolitan borough council,Requires improvement to be good,50549,230,45,505,99,2284,324,14,0.27,1340,9126,33
Salford,355,2012-13,,,Metropolitan borough council,Good,52270,349,68,540,105,1902,333,18,0.28,2438,5291,20
Stockport,356,2012-13,,,Metropolitan borough council,Good,61010,309,51,305,50,1668,345,21,0.16,2251,4704,14
Tameside,357,2012-13,,,Metropolitan borough council,Requires improvement to be good,48691,164,34,385,80,1388,123,9,0.25,2135,5170,18
Trafford,358,2012-13,,,Metropolitan borough council,Inadequate,52972,212,41,290,55,1317,139,11,0.14,2153,8544,26
Wigan,359,2012-13,,,Metropolitan borough council,Good,67799,180,27,510,75,2128,254,12,0.2,1694,2209,6
Barnsley,370,2012-13,,,Metropolitan borough council,Good,49339,187,38,235,48,1177,251,21,0.25,710,1664,6
Doncaster,371,2012-13,,,Metropolitan borough council,Good,64972,588,91,500,77,3307,282,9,0.25,533,4341,11
Rotherham,372,2012-13,,,Metropolitan borough council,Good,56121,332,59,390,70,1830,217,12,0.24,902,5374,14
